index,FSA,census under 60,census above 60,census total
0,A0A,62470,24795,87265
1,A0B,24555,13330,37885
2,A0C,15955,8115,24070
3,A0E,29050,13245,42295
4,A0G,44100,23025,67125
5,A0H,23200,10615,33815
6,A0J,9890,5180,15070
7,A0K,34050,15615,49665
8,A0L,10385,3905,14290
9,A0M,7855,3950,11805
10,A0N,17620,8705,26325
11,A0P,21120,3405,24525
12,A0R,4065,475,4540
13,A1A,42750,13985,56735
14,A1B,30355,7385,37740
15,A1C,19650,4730,24380
16,A1E,38445,13080,51525
17,A1G,8590,2180,10770
18,A1H,8615,1050,9665
19,A1K,18575,3595,22170
20,A1L,33660,4640,38300
21,A1M,11945,2635,14580
22,A1N,33380,9940,43320
23,A1S,9260,2115,11375
24,A1V,16580,5155,21735
25,A1W,16615,4005,20620
26,A1X,22145,5265,27410
27,A1Y,7385,3335,10720
28,A2A,13030,4905,17935
29,A2B,6515,2810,9325
30,A2H,35425,13900,49325
31,A2N,11820,4935,16755
32,A2V,11575,1680,13255
33,A5A,11285,3785,15070
34,A8A,8940,4010,12950
35,B0C,3445,1555,5000
36,B0E,31965,17050,49015
37,B0H,12565,6170,18735
38,B0J,50025,24490,74515
39,B0K,46375,21275,67650
40,B0L,2990,1505,4495
41,B0M,22010,10115,32125
42,B0N,53980,19755,73735
43,B0P,55025,20360,75385
44,B0R,7130,3985,11115
45,B0S,20915,12000,32915
46,B0T,18025,9940,27965
47,B0V,7355,3710,11065
48,B0W,35240,16080,51320
49,B1A,20765,9385,30150
50,B1B,1490,835,2325
51,B1C,2105,1080,3185
52,B1E,2065,875,2940
53,B1G,2345,1175,3520
54,B1H,12730,5590,18320
55,B1J,1105,775,1880
56,B1K,3870,1915,5785
57,B1L,6625,2570,9195
58,B1M,1545,615,2160
59,B1N,7740,2970,10710
60,B1P,19295,7695,26990
61,B1R,5905,2190,8095
62,B1S,10370,6185,16555
63,B1T,380,310,690
64,B1V,8445,3445,11890
65,B1W,5235,470,5705
66,B1X,1055,525,1580
67,B1Y,7715,3380,11095
68,B2A,10230,5070,15300
69,B2C,350,195,545
70,B2E,40,50,90
71,B2G,19205,7655,26860
72,B2H,18885,8485,27370
73,B2J,75,55,130
74,B2N,26070,11715,37785
75,B2R,3480,1145,4625
76,B2S,11415,2385,13800
77,B2T,25635,5175,30810
78,B2V,17885,4605,22490
79,B2W,44940,16030,60970
80,B2X,17100,4465,21565
81,B2Y,21085,6715,27800
82,B2Z,12090,3230,15320
83,B3A,29800,8490,38290
84,B3B,2350,225,2575
85,B3E,9795,2820,12615
86,B3G,16225,2985,19210
